product_id,sku,category_slug,subcategory_slug,name_bg,short_desc_bg,material,color,size,unit,price_bgn,promo_price_bgn,stock_qty,min_stock,stock_status,is_featured,is_active,image_1,image_2,image_3,spec_pdf,seo_title,seo_description,slug,sort_order
PRD-001,MRL-FNC-LAM-001,ogradi,lamelni-ogradi,Ламелна ограда Premium 1200,Модерен хоризонтален дизайн за повече уединение и завършен вид.,Поцинкована стомана,Антрацит,1200 x 2000 mm,бр.,289.0,0,16,4,В наличност,Да,Да,assets/hero-slide-1.jpg,assets/hero-slide-1.jpg,,,Ламелна ограда Premium 1200 | Marletta,Ламелна ограда с прахово боядисано покритие и модерен антрацитен завършек.,mrl-fnc-lam-001,1
PRD-002,MRL-FNC-LAM-002,ogradi,lamelni-ogradi,Ламелна ограда Premium 1800,По-висок вариант за по-добра защита на личното пространство.,Поцинкована стомана,Черно,1800 x 2000 mm,бр.,349.0,0,6,3,В наличност,Да,Да,assets/hero-slide-1.jpg,,,,Ламелна ограда Premium 1800 | Marletta,Ламелна ограда за жилищни и бизнес обекти.,mrl-fnc-lam-002,2
PRD-003,MRL-SYS-PNL-001,ogradni-sistemi,ogradni-pana,Оградно пано 3D 1730x2500,Класическо 3D пано за сигурен и чист периметър.,Стомана,Зелено RAL 6005,1730 x 2500 mm,бр.,58.5,0,34,10,В наличност,Да,Да,assets/cat-fences-main.jpg,,,,Оградно пано 3D 1730x2500 | Marletta,Поцинковано и прахово боядисано оградно пано за системен монтаж.,mrl-sys-pnl-001,3
PRD-004,MRL-SYS-POST-001,ogradni-sistemi,kolove-i-aksesoari,Ограден кол 60x40x2200,Съвместим с 3D пана и различни системни решения.,Поцинкована стомана,Зелено RAL 6005,60 x 40 x 2200 mm,бр.,24.9,0,89,20,В наличност,Не,Да,assets/cat-systems.jpg,,,,Ограден кол 60x40x2200 | Marletta,Системен кол за монтаж на панели и мрежи.,mrl-sys-post-001,4
PRD-005,MRL-SYS-MSH-001,ogradni-sistemi,ogradni-mrezhi,Поцинкована оградна мрежа 1.50m,"Икономично решение за земеделски, дворни и индустриални терени.",Стомана,Поцинковано,1.50 x 25 m,ролка,96.0,0,21,8,В наличност,Не,Да,assets/cat-fences-alt.jpg,,,,Поцинкована оградна мрежа 1.50m | Marletta,Оградна мрежа на ролка за бърз и практичен монтаж.,mrl-sys-msh-001,5
PRD-006,MRL-SYS-GATE-001,ogradni-sistemi,portalni-sistemi,Плъзгаща портална система 4m,Комплект за надеждно и плавно отваряне на портал.,Стомана,Антрацит,4 m,комплект,649.0,0,2,2,Ниска наличност,Да,Да,assets/cat-systems.jpg,,,,Плъзгаща портална система 4m | Marletta,Комплект за плъзгаща врата за частни и индустриални обекти.,mrl-sys-gate-001,6
PRD-007,MRL-DR-INT-001,vrati,interiorni-vrati,Интериорна врата Elegance White,"Изчистен модел за апартаменти, офиси и хотелски помещения.",MDF / HDF,Бяло,80/200 cm,бр.,399.0,0,12,4,В наличност,Да,Да,assets/cat-doors.jpg,,,,Интериорна врата Elegance White | Marletta,Интериорна врата с модерна визия и лесна поддръжка.,mrl-dr-int-001,7
PRD-008,MRL-DR-SEC-001,vrati,blindirani-vrati,Блиндирана врата Secure 90,Подсилена конструкция за входове на апартаменти и офиси.,Стомана / MDF,Тъмен дъб,90/200 cm,бр.,1189.0,1049.0,3,2,В наличност,Да,Да,assets/cat-doors.jpg,,,,Блиндирана врата Secure 90 | Marletta,Сигурна входна врата с добра изолация и завършен външен вид.,mrl-dr-sec-001,8
PRD-009,MRL-TIL-GR-001,plochki,granitogres,Гранитогрес Stone Grey 60x60,Подходящ за интериорни и по-натоварени зони.,Гранитогрес,Stone Grey,60 x 60 cm,м²,42.9,0,108,40,В наличност,Да,Да,assets/cat-tiles.jpg,,,,Гранитогрес Stone Grey 60x60 | Marletta,Гранитогрес за подове и стени с каменен ефект.,mrl-til-gr-001,9
PRD-010,MRL-TIL-OUT-001,plochki,vunshni-plochki,Външни плочки Nordic 30x60,Мразоустойчиво решение за тераси и външни площи.,Керамика,Сив,30 x 60 cm,м²,48.5,0,0,25,Изчерпан,Не,Да,assets/cat-tiles.jpg,,,,Външни плочки Nordic 30x60 | Marletta,Външни плочки с противоплъзгаща повърхност.,mrl-til-out-001,10
PRD-011,MRL-GRN-STEP-001,granit,granitni-stupala,Гранитно стъпало G603 150x33,Практичен избор за външни стълби и обществени зони.,Гранит G603,Светлосиво,150 x 33 x 2 cm,бр.,78.0,0,18,6,В наличност,Не,Да,assets/cat-granite.jpg,,,,Гранитно стъпало G603 150x33 | Marletta,Гранитно стъпало за натоварени и външни пространства.,mrl-grn-step-001,11
PRD-012,MRL-STN-CLD-001,kamak,oblicovuchen-kamuk,Облицовъчен камък Rustica Mix,"Естествена визия за фасади, огради и декоративни стени.",Естествен камък,Микс,Free length,м²,69.0,0,51,15,В наличност,Да,Да,assets/cat-stone.jpg,,,,Облицовъчен камък Rustica Mix | Marletta,Камък за фасадни и екстериорни облицовки.,mrl-stn-cld-001,12
PRD-013,MRL-BLD-MIX-001,stroitelni-materiali,suhi-smesi,Лепило Flex C2TE 25kg,"За плочки, гранитогрес и външни приложения.",Суха смес,Сиво,25 kg,торба,18.9,0,73,20,В наличност,Не,Да,assets/cat-materials.jpg,,,,Лепило Flex C2TE 25kg | Marletta,Лепило за плочки с добра еластичност и сцепление.,mrl-bld-mix-001,13
PRD-014,MRL-BLD-INS-001,stroitelni-materiali,izolacii,XPS изолация 5cm,"Твърда плоча за подове, основи и външни зони.",XPS,Син,1250 x 600 x 50 mm,бр.,10.8,0,30,12,В наличност,Не,Да,assets/cat-materials.jpg,,,,XPS изолация 5cm | Marletta,XPS плочи за топлоизолация и висока устойчивост на влага.,mrl-bld-ins-001,14
